165816,1,PO_Receiptcreation_009,4/06/2020 17:07:17 PM,0,Passed,4/06/2020 17:04:27 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,12091,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.719.18362.0",,11558,Passed,"",basic.step,
"Iteration Total (sec)",,153437,Passed,"",basic.iteration,
"GetNextDatabankRecord: PO_ReceiptCreation_009",,2,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome123, 841900191]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",125,75,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"Think: 0.479 (sec).",,508,Passed,"",basic.comment,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",127,751,Passed,"",web.pageComplete,
"Think: 0.514 (sec).",,538,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",130,10414,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",131,39,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",132,103,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",133,55,Passed,"Data Used:welcome123",ft.action,
"Click button(""@id='SubmitButton'"")",134,133,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",135,10423,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MIMC PURCHASING BUYER'"")",138,138,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",139,651,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Receipts'"")",143,2419,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",144,603,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Receipts'"")",147,113,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",148,48233,Passed,"",web.pageComplete,
"Activate window(""@name='NAVIGATOR'"")",151,27011,Passed,"",ft.action,
"Forms Screen shot",153,359,Passed,"",ft.screenshot,
"Think: 0.285 (sec).",,305,Passed,"",basic.comment,
"Select listOfValues(""forms:listOfValues"") MGS|MIMC Magnesite Inventory Organization",154,10727,Passed,"",ft.action,
"Forms Screen shot",156,304,Passed,"",ft.screenshot,
"Think: 0.794 (sec).",,815,Passed,"",basic.comment,
"SetText textField(""@name='FIND_PO_NUM_0'"") 841900191",157,11028,Passed,"Data Used:841900191",ft.action,
"Click button(""@name='FIND_FIND_0'"")",158,2797,Passed,"",ft.action,
"Think: 1.775 (sec).",,1805,Passed,"",basic.comment,
"Activate window(""@name='FIND_WINDOW'"")",159,430,Passed,"",ft.action,
"Think: 0.614 (sec).",,635,Passed,"",basic.comment,
